GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC03_EST_VC02,HC05_EST_VC02,HC01_EST_VC06,HC01_EST_VC08,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Graduate or professional degree
0500000US45051,45051,"Horry County, South Carolina",25656,13813,11843,2374,246389,18770
0500000US45055,45055,"Kershaw County, South Carolina",5133,2352,2781,380,44660,4035
0500000US45057,45057,"Lancaster County, South Carolina",6104,3192,2912,258,66570,6057
0500000US45059,45059,"Laurens County, South Carolina",5908,3235,2673,600,46198,2666
0500000US45063,45063,"Lexington County, South Carolina",22704,11741,10963,2320,200145,21326
0500000US45073,45073,"Oconee County, South Carolina",5832,3130,2702,337,56099,6174
0500000US45075,45075,"Orangeburg County, South Carolina",9567,4171,5396,325,58850,5234
0500000US45077,45077,"Pickens County, South Carolina",21680,11569,10111,1861,77709,8222
0500000US45079,45079,"Richland County, South Carolina",64502,33789,30713,6387,258643,39380
0500000US45083,45083,"Spartanburg County, South Carolina",28920,14320,14600,2585,207051,19669
0500000US45085,45085,"Sumter County, South Carolina",10743,6032,4711,269,71105,4896
0500000US45091,45091,"York County, South Carolina",23880,11779,12101,3420,177532,20275
0500000US46099,46099,"Minnehaha County, South Dakota",16598,8744,7854,2452,124138,12563
